Date,Adj Close,cash-rate
2021-01-18,0.768888,0.10
2021-01-19,0.768699,0.10
2021-01-20,0.77118,0.10
2021-01-21,0.77557,0.10
2021-01-22,0.776102,0.10
2021-01-25,0.77158,0.10
2021-01-26,0.7719,#N/A
2021-01-27,0.775314,0.10
2021-01-28,0.7651,0.10
2021-01-29,0.76697,0.10
2021-02-01,0.761998,0.10
2021-02-02,0.76346,0.10
2021-02-03,0.760821,0.10
2021-02-04,0.7636,0.10
2021-02-05,0.7603,0.10
2021-02-08,0.76792,0.10
2021-02-09,0.7711,0.10
2021-02-10,0.77405,0.10
2021-02-11,0.772535,0.10
2021-02-12,0.7754,0.10
2021-02-15,0.77641,0.10
2021-02-16,0.77862,0.10
2021-02-17,0.77379,0.10
2021-02-18,0.77587,0.10
2021-02-19,0.7768,0.10
2021-02-22,0.788849,0.10
2021-02-23,0.79154,0.10
2021-02-24,0.790883,0.10
2021-02-25,0.797703,0.10
2021-02-26,0.787,0.10
2021-03-01,0.775242,0.10
2021-03-02,0.7772,0.10
2021-03-03,0.78252,0.10
2021-03-04,0.77581,0.10
2021-03-05,0.77156,0.10
2021-03-08,0.77091,0.10
2021-03-09,0.765667,0.10
2021-03-10,0.771784,0.10
2021-03-11,0.7732,0.10
2021-03-12,0.778762,0.10
2021-03-15,0.7763,0.10
2021-03-16,0.775014,0.10
2021-03-17,0.774557,0.10
2021-03-18,0.7813,0.10
2021-03-19,0.77537,0.10
2021-03-22,0.77225,0.10
2021-03-23,0.77455,0.10
2021-03-24,0.76047,0.10
2021-03-25,0.7591,0.10
2021-03-26,0.7594,0.10
2021-03-29,0.763738,0.10
2021-03-30,0.764117,0.10
2021-03-31,0.76088,0.10
2021-04-01,0.75941,0.10
2021-04-02,0.7619,#N/A
2021-04-05,0.7621,#N/A
2021-04-06,0.765873,0.10
2021-04-07,0.766695,0.10
2021-04-08,0.761388,0.10
2021-04-09,0.7659,0.10
2021-04-12,0.7626,0.10
2021-04-13,0.762771,0.10
2021-04-14,0.76475,0.10
2021-04-15,0.77251,0.10
2021-04-16,0.77517,0.10
2021-04-19,0.771403,0.10
2021-04-20,0.7767,0.10
2021-04-21,0.77238,0.10
2021-04-22,0.77544,0.10
2021-04-23,0.770535,0.10
2021-04-26,0.774311,0.10
2021-04-27,0.77997,0.10
2021-04-28,0.777,0.10
2021-04-29,0.78013,0.10
2021-04-30,0.777762,0.10
2021-05-03,0.7723,0.10
2021-05-04,0.775891,0.10
2021-05-05,0.77138,0.10
2021-05-06,0.77512,0.10
2021-05-07,0.778731,0.10
2021-05-10,0.785879,0.10
2021-05-11,0.7839,0.10
2021-05-12,0.78381,0.10
2021-05-13,0.77323,0.10
2021-05-14,0.77262,0.10
2021-05-17,0.777871,0.10
2021-05-18,0.77737,0.10
2021-05-19,0.778998,0.10
2021-05-20,0.77203,0.10
2021-05-21,0.777,0.10
2021-05-24,0.773,0.10
2021-05-25,0.77508,0.10
2021-05-26,0.775314,0.10
2021-05-27,0.77399,0.10
2021-05-28,0.77425,0.10
2021-05-31,0.77101,0.10
2021-06-01,0.77435,0.10
2021-06-02,0.77559,0.10
2021-06-03,0.77443,0.10
2021-06-04,0.766577,0.10
2021-06-07,0.7744,0.10
2021-06-08,0.77563,0.10
2021-06-09,0.7737,0.10
2021-06-10,0.77295,0.10
2021-06-11,0.7748,0.10
2021-06-14,0.770891,#N/A
2021-06-15,0.7712,0.10
2021-06-16,0.768622,0.10
2021-06-17,0.761673,0.10
2021-06-18,0.75569,0.10
2021-06-21,0.7504,0.10
2021-06-22,0.75349,0.10
2021-06-23,0.755481,0.10
2021-06-24,0.757444,0.10
2021-06-25,0.758208,0.10
2021-06-28,0.7595,0.10
2021-06-29,0.75684,0.10
2021-06-30,0.75136,0.10
2021-07-01,0.74977,0.10
2021-07-02,0.746581,0.10
2021-07-05,0.75186,0.10
2021-07-06,0.7543,0.10
2021-07-07,0.7495,0.10
2021-07-08,0.748441,0.10
2021-07-09,0.743329,0.10
2021-07-12,0.749008,0.10
2021-07-13,0.7481,0.10
2021-07-14,0.7442,0.10
2021-07-15,0.748038,0.10
2021-07-16,0.7423,0.10
2021-07-19,0.7391,0.10
2021-07-20,0.73392,0.10
2021-07-21,0.733891,0.10
2021-07-22,0.735262,0.10
